p03,p05,p10,p11,p12,p13,p16,p18,p19,p21,p23,p24,p26,p27,p28,p29,p30,p31,p32,p33,p35,p36,p37,p38,p39,p40,p41,p42,p43,p46,p47,p49
0.739100536,0.902523802,0.758043383,0,0.881135955,0.999371563,0.976891039,0.821397124,0.757098261,0.985786397,0.951951952,0.402775906,0.787517337,0.858701657,0.848237029,0.800452659,0.361667744,0.674506623,0.976539589,0.791634511,0.049529327,0.853691275,0.818573613,0.838389054,0.853452478,0.729700691,0.669533343,0,0.935849578,0.879094793,0.696127563,0.826092841
0.733845926,0.916946922,0.072903226,0.00828342,0.849836494,0.989373814,0.835635573,0.948771345,0.801775579,0,0.760147601,0.710371284,0.803037004,0.869859233,0.980688387,0.762913223,0.216249236,0.560277275,1,1,0,1,0.807068103,0.942005814,0.920735574,0.540462046,0.480832095,0.155304143,0.668952827,0.814219269,0.932735426,0.81281198
0.68152538,0.926784303,0.669723435,0.632257087,0.882568197,1,0.925009764,0.855093053,0.647824319,0.35011355,0.645612485,0.1760181,0.824551874,0.826762821,0.893928622,0.988105353,0.135540839,0.534921099,1,0.817836297,0.125781591,0.982435249,0.701405152,0.956824513,1,1,0.099469496,0.607414603,1,0.833746079,0.750396197,0.789010272
0.84947158,0.847035376,0.808831596,0.853093451,0.838357588,1,0.695826274,0.790263368,0.63194236,1,0.750673214,0.167976158,0.77397896,0.957362498,0.872882697,0.898557062,0.8458729,0.722739018,0.980522062,0.876625212,0.075764422,1,0.831460674,0.932133838,1,1,0.985758168,0.635191083,0.943028686,0.881107492,1,0.8107739
0,0.956887326,0.064913495,0.853591522,0.829239569,1,0.969926925,0.833039468,0.758598807,0.942234572,0.578452958,0.694473724,0.842403628,0.911623005,0.861268863,0.905826558,0.847812971,0.481706368,0.995384844,0.818139098,0.220874779,1,0.79049676,0.909040334,1,1,0.35539931,0.44489341,0.964189667,0.870769692,1,0.837400681
0.399413565,0.928612385,0.102762431,0.429603399,0.810648284,1,0.810067988,0.71338302,0.80238744,1,0.582327522,0.292070927,0.759975907,0.924585677,1,0.825828241,1,0.195178963,1,0.622278767,0.091645637,1,0.792836724,0.921745769,1,0.530018762,0.637594376,0.106484327,1,0.883644166,1,0.840922531
0,0.993434796,0.691734708,0.107368693,0.849373466,1,0.945753835,0.551982257,0.774472773,1,0,0.530745748,0.033314825,0.935111356,0.598245614,0.577247191,0.831196581,0.675904241,1,0.839557927,0,1,0.489093702,0.691182338,0.999745418,0.21325083,0.324993518,0.327163033,1,0.902639034,0.742191216,0.508018328
0.654703135,0.997018387,0.093132154,0.49980747,0.456569804,0.787462018,0.98834926,0.83421494,0.544453186,0.846374502,0,0.218921032,0.745413454,0.642018779,0.919980037,0.714547118,0.047969052,0.605676416,0.998045701,0.370865943,0.059651818,1,0.580692886,0.521788024,1,0.993,0.380230354,0.407756384,0.948476373,0.959409065,0.897547867,0.811267185
0.78301105,0.778606634,0.300073368,0.080597015,0.830994509,0.909307876,0.539100161,0.829106029,0.806582067,1,0.411280488,0.731161152,0.687252685,0.610395804,0.790999567,1,0.061328249,0.514985282,0.777905639,0.759773748,0.191308956,1,0.804212055,0.82092299,0.77820142,0.353543563,0,0.568446529,1,0.99398012,1,0.858573596
0.695328771,0.598402514,0.243132946,0.017406099,0.619115145,0.970749257,0.995662712,1,0.391409073,0.972101592,0.584301887,0.000909563,0,0.676533839,0.805091751,0.857214013,0,0.318647677,0.916962475,0.55558366,0,1,0.796882856,0.884815927,1,0.202983139,0.399241946,0.153955922,0.725164615,0.806418219,0.42260223,0.518597388
0.9335522,0.536786584,0.257935449,0,0.826301078,0.999616662,0.964290403,0.520765832,0.734046718,1,0.376223026,0.779280618,0,0.85634248,0.928525268,0.869335468,0,0.900512164,0.85581749,0.653436592,0.04539277,1,0.571808865,0.753438443,1,0.280438373,0.295575221,0.415019157,0.475180906,0.904630829,0.488918033,0.811546841
0.440394837,0.596181047,0.592432006,0,0.836375661,0.963270476,0.922860527,0.596899225,0.810902415,1,0.579606994,0.743806876,0,0.999732585,0.889091164,0.664977834,0,0.48415538,0.883883558,0.400565625,0,1,1,0.879451704,1,0.025989604,0.085793486,0.461361678,0.695553195,0.932756651,0.620526937,0.813346933
0.343219754,0.543458724,0.791508719,0,0.786887836,0.996372606,0.894314166,0.83236246,0.562929358,1,0.234778982,0.790188559,0,0.81981982,0.918914474,0.717804002,0,0.823685541,0.935995469,0.858307295,0,1,0.703605016,0.802286067,1,0,0,0.502846868,0.848474856,0.888681882,0.547066849,0.803686934
